,symbol,x,y,z,frame
185,H,-0.693633D+01,0.220275D+02,-0.754827D+01,0
186,O,0.354731D+01,0.138201D+01,0.627562D+01,0
187,H,-0.380949D+02,0.983805D+01,-0.123090D+02,0
188,H,0.378762D+01,0.104164D+02,-0.880502D+01,0
189,O,0.796029D+01,-0.105202D+02,0.264866D+01,0
190,H,0.202770D+01,0.189380D+01,0.390164D+02,0
191,H,0.191901D+01,-0.123590D+02,0.665756D+00,0
192,O,-0.734028D+00,0.458151D+00,-0.141895D+01,0
193,H,-0.236283D+00,0.154183D+02,-0.826872D+00,0
194,H,0.176207D+01,-0.680039D+01,0.287027D+02,0
195,O,0.724962D+00,-0.615044D+01,0.590457D+00,0
196,H,-0.267423D+01,-0.439373D+02,0.121861D+02,0
197,H,-0.252753D+02,0.135681D+02,0.310196D+01,0
198,O,-0.444186D+01,0.765875D+01,0.384350D+01,0
199,H,0.421766D+01,-0.253741D+01,-0.157672D+02,0
200,H,0.395347D+01,0.626962D+01,-0.967699D+01,0
201,O,0.826248D+01,-0.280412D+01,-0.641424D+01,0
202,H,0.228431D+02,-0.148891D+01,-0.198135D+02,0
203,H,0.180618D+01,0.235009D+02,0.191737D+02,0
204,O,0.976549D+00,-0.944930D+00,-0.653927D+01,0
205,H,0.531689D+01,-0.568713D+01,0.559394D+01,0
206,H,-0.184326D+02,-0.214905D+02,0.800736D+01,0
207,O,-0.796947D+00,0.768335D+01,-0.941037D+00,0
208,H,0.144155D+02,-0.300252D+01,-0.937729D+01,0
209,H,-0.286056D+02,0.324629D+01,-0.324543D+01,0
210,O,-0.432157D+01,0.127854D+02,0.829971D+01,0
211,H,0.798196D+01,-0.639955D+01,0.308302D+01,0
212,H,-0.117129D+02,-0.186915D+02,0.193948D+02,0
213,O,0.904555D+01,0.154817D+01,0.360168D+01,0
214,H,-0.599928D+01,0.814789D+01,-0.134464D+02,0
215,H,0.107008D+02,-0.353916D+02,0.577058D+01,0
216,O,-0.314400D+01,-0.880383D+00,0.240712D+01,0
217,H,0.506779D+01,-0.796481D+01,0.220563D+02,0
218,H,0.157004D+02,-0.102501D+02,0.162146D+02,0
219,O,0.396646D+01,0.653341D+01,-0.119394D+01,0
220,H,0.408849D+02,0.355541D+01,-0.795615D+01,0
221,H,0.319849D+02,0.409862D+02,-0.309294D+02,0
222,O,0.339955D+01,-0.372155D+01,0.764410D+01,0
223,H,0.101723D+02,-0.676944D+01,0.230986D+02,0
224,H,0.986826D+01,0.250367D+02,0.103479D+02,0
225,O,-0.500805D+01,-0.325364D+01,0.280432D+01,0
226,H,0.820928D+01,0.197685D+01,0.453004D+01,0
227,H,-0.126495D+02,-0.150228D+01,0.819224D+01,0
228,O,-0.922089D+01,0.448401D+01,0.326670D+01,0
229,H,-0.212179D+02,0.481856D+02,0.188238D+02,0
230,H,0.494395D+02,-0.286365D+01,-0.819935D+00,0
231,O,-0.154024D+00,-0.199961D+01,0.691391D+01,0
232,H,-0.950750D+01,-0.161736D+01,0.226359D+02,0
233,H,-0.345581D+02,-0.107926D+02,-0.112921D+01,0
234,O,0.588913D+00,-0.833244D+01,0.529507D+01,0
235,H,0.387404D+02,-0.549542D+01,-0.277983D+02,0
236,H,-0.166848D+02,-0.116601D+01,0.994994D+00,0
237,O,-0.275131D+01,-0.123075D+02,0.294439D+01,0
238,H,-0.289584D+01,-0.214855D+02,0.864249D+01,0
239,H,0.404995D+01,-0.136739D+00,0.328108D+02,0
240,O,0.218282D+01,0.971540D+00,-0.205335D+01,0
241,H,-0.118006D+02,-0.189326D+01,0.195680D+02,0
242,H,0.111902D+01,-0.949098D+01,0.158785D+02,0
243,O,0.206709D+01,0.499115D+01,-0.423452D+01,0
244,H,0.229487D+02,-0.705738D+01,0.272100D+02,0
245,H,0.241150D+02,-0.888862D+01,0.308110D+02,0
246,O,0.501905D+00,0.138392D+01,-0.244276D+01,0
247,H,0.125720D+02,0.458772D+02,-0.609887D+01,0
248,H,-0.112582D+02,-0.361336D+02,-0.943669D+01,0
249,O,-0.368539D+00,-0.468828D+01,0.216672D+01,0
250,H,-0.209420D+01,0.117999D+02,-0.304396D+01,0
251,H,-0.409381D+01,-0.175826D+02,0.238476D+02,0
252,O,-0.548415D+01,0.257229D+01,0.287477D+01,0
253,H,-0.407980D+01,-0.793595D+01,0.337350D+02,0
254,H,0.202677D+02,-0.308725D+02,0.897172D+01,0
255,O,-0.229435D+00,0.115593D+01,0.178312D+01,0
256,H,-0.710617D+01,0.268724D+01,-0.135629D+02,0
257,H,0.420786D+01,0.133534D+02,0.284822D+02,0
258,O,0.169273D+01,0.622179D+01,0.286460D+01,0
259,H,0.145329D+02,0.146360D+02,-0.165854D+01,0
260,H,0.152196D+02,-0.708760D+01,-0.924235D+01,0
261,O,0.426161D-01,0.191951D+01,-0.317149D+01,0
262,H,0.966273D+01,0.103537D+02,0.197788D+01,0
263,H,-0.301424D+02,-0.355851D+02,-0.316813D+00,0
