two,dx,dy,dz,dr,atom0,atom1,projection,bond,molecule_label0,molecule_label1
188427,-0.8759498731475004,2.4599193627050013,-0.995505675495,2.7945523794019067,587586,587587,13,False,2.0,2.0
189716,0.3265570407610028,-0.017428940008599625,1.8947382864066,1.9227523092679997,587712,587776,13,True,1.0,1.0
189717,0.06220292417000195,-1.7243779274131086,-0.6862595200129995,1.8569600343392691,587712,587777,13,True,1.0,1.0
189751,-0.6782499419442996,-1.5963659774490004,0.5561092686329996,1.8214458093403927,587713,587778,13,True,2.0,2.0
189752,-1.6040416145127994,0.9004367829870006,-0.3646909793140001,1.875296086392176,587713,587779,13,True,2.0,2.0
191429,-0.26435411659100083,-1.706948987404509,-2.5809978064195995,3.105657357356518,587776,587777,13,False,1.0,1.0
191474,-0.9257916725684998,2.496802760436001,-0.9208002479469997,2.8176208655774237,587778,587779,13,False,2.0,2.0
192764,0.2858597166980026,-0.07333576909270079,1.95512061121,1.9772684483997724,587904,587968,13,True,1.0,1.0
192765,0.08489097969700055,-1.7559019547679924,-0.6877358099529998,1.8876913671158435,587904,587969,13,True,1.0,1.0
192799,-0.6594345653881,-1.661637627327,0.5843877783690008,1.880798401234048,587905,587970,13,True,2.0,2.0
192800,-1.6299464216255002,0.9334434904390001,-0.27734511993299904,1.8986738537103642,587905,587971,13,True,2.0,2.0
194472,-0.20096873700100204,-1.6825661856752916,-2.6428564211629997,3.139443814644909,587968,587969,13,False,1.0,1.0
194517,-0.9705118562374002,2.595081117766,-0.8617328983019998,2.9015380161043836,587970,587971,13,False,2.0,2.0
195807,0.244962351992001,-0.13242340552169907,1.9808717796932003,2.000348849528083,588096,588160,13,True,1.0,1.0
195808,0.10920965988600173,-1.7524873809582324,-0.6708235578106994,1.879665666001288,588096,588161,13,True,1.0,1.0
195842,-0.6165528590916001,-1.7306371274320007,0.608086687289001,1.935203274635051,588097,588162,13,True,2.0,2.0
195843,-1.625254741249,0.9731191164260018,-0.19549348968999958,1.9043716793780698,588097,588163,13,True,2.0,2.0
197509,-0.13575269210599927,-1.6200639754365334,-2.6516953375038996,3.1103897249157013,588160,588161,13,False,1.0,1.0
197553,-1.0087018821573999,2.7037562438580025,-0.8035801769790005,2.995583150924477,588162,588163,13,False,2.0,2.0
198848,0.20519110947600083,-0.18621818243060062,1.9645925374759,1.9840374092193283,588288,588352,13,True,1.0,1.0
198849,0.1338181862189991,-1.7191826941371993,-0.6429175191459002,1.8403367570117433,588288,588353,13,True,1.0,1.0
198883,-0.5466947543650003,-1.7683036551049973,0.6152892173800009,1.9504752733967163,588289,588354,13,True,2.0,2.0
198884,-1.5887838149922002,1.0113612089360018,-0.1203665977269992,1.887213189750971,588289,588355,13,True,2.0,2.0
200547,-0.07137292325700173,-1.5329645117065986,-2.6075100566218,3.025588039325566,588352,588353,13,False,1.0,1.0
200591,-1.0420890606272,2.779664864040999,-0.7356558151070001,3.0583779761441665,588354,588355,13,False,2.0,2.0
201889,0.16889458344699904,-0.22837488299549946,1.9130567377362002,1.934028580269386,588480,588544,13,True,1.0,1.0
201890,0.15915536945099973,-1.6836255063632493,-0.6195057288425003,1.801030989564219,588480,588545,13,True,1.0,1.0
201922,-0.4589116386564003,-1.762017131836,0.6025578302500012,1.9179103742806793,588481,588546,13,True,2.0,2.0
201923,-1.5334970017516998,1.045684443658999,-0.05340582546299899,1.8568578815529386,588481,588547,13,True,2.0,2.0
203586,-0.009739213995999307,-1.4552506233677498,-2.5325624665787005,2.9209111380226336,588544,588545,13,False,1.0,1.0
203631,-1.0745853630952995,2.807701575494999,-0.6559636557130002,3.0770456865688747,588546,588547,13,False,2.0,2.0
204938,0.13839327982799787,-0.2564012716791986,1.8470645880321994,1.8699042500574246,588672,588736,13,True,1.0,1.0
204939,0.18728877585699877,-1.6762669768130785,-0.6160515111115004,1.7956802408721977,588672,588737,13,True,1.0,1.0
204970,-0.3700100876257002,-1.7238988093790013,0.5755611050990002,1.8547250889622158,588673,588738,13,True,2.0,2.0
204971,-1.4811450025043005,1.0783352517800004,0.005153263968999511,1.8321091642706324,588673,588739,13,True,2.0,2.0
206632,0.048895496029000896,-1.4198657051338799,-2.4631160991436998,2.843475040862523,588736,588737,13,False,1.0,1.0
206677,-1.1111349148786003,2.8022340611590018,-0.5704078411300006,3.0679800582475325,588738,588739,13,False,2.0,2.0
207979,0.11567205652799828,-0.2714554327365981,1.8012979206053004,1.8253060771828404,588864,588928,13,True,1.0,1.0
207980,0.21889777463900018,-1.7005963562712374,-0.6360875172084004,1.8288115081257725,588864,588929,13,True,1.0,1.0
208012,-0.2988537508002995,-1.6891095414950001,0.5480900818779997,1.8007796493157873,588865,588930,13,True,2.0,2.0
208013,-1.4504164623654994,1.1109059165150015,0.056837421411998434,1.8278540319515808,588865,588931,13,True,2.0,2.0
209680,0.1032257181110019,-1.4291409235346393,-2.4373854378137008,2.8273569107325764,588928,588929,13,False,1.0,1.0
209725,-1.1515627115651998,2.8000154580100016,-0.49125266046600125,3.067166839312345,588930,588931,13,False,2.0,2.0
211036,0.10171980141300097,-0.2767881115443984,1.8047790688361003,1.8287115857894913,589056,589120,13,True,1.0,1.0
211037,0.2514176365730023,-1.7294232057547987,-0.6689318574377996,1.8712523299860826,589056,589121,13,True,1.0,1.0
211069,-0.2591853413987,-1.6958644226819999,0.5344223348719996,1.7968696150039805,589057,589122,13,True,2.0,2.0
211070,-1.4463902411882996,1.1377256559499997,0.10340142650900042,1.8431376109818012,589057,589123,13,True,2.0,2.0
212738,0.14969783516000135,-1.4526350942104003,-2.4737109262739,2.8725953257551136,589120,589121,13,False,1.0,1.0
212782,-1.1872048997895996,2.8335900786319996,-0.4310209083629992,3.1023325468511915,589122,589123,13,False,2.0,2.0
214096,0.09647360661000093,-0.2736990849671024,1.8540359485412,1.8766106800205622,589248,589312,13,True,1.0,1.0
214097,0.28067952262099993,-1.7315245045084424,-0.7004973288574003,1.888823605281423,589248,589313,13,True,1.0,1.0
214130,-0.25435420199890046,-1.746731113651002,0.536936216937999,1.8450111502456175,589249,589314,13,True,2.0,2.0
214131,-1.4600891767219002,1.1480960425449993,0.14479918493399957,1.863049041449386,589249,589315,13,True,2.0,2.0
215800,0.184205916010999,-1.45782541954134,-2.5545332773986003,2.9470030605160846,589312,589313,13,False,1.0,1.0
215843,-1.2057349747229997,2.8948271561960013,-0.3921370320039994,3.160315260443016,589314,589315,13,False,2.0,2.0
217156,0.09939059865699917,-0.26151757361800065,1.9168475367370998,1.937156269253343,589440,589504,13,True,1.0,1.0
